,alpha,mu,weight
704,0.08,10.6201197812,0.12
705,0.08,9.37593740103,0.13
706,0.08,8.24271336286,0.14
707,0.08,7.23009893126,0.15
708,0.08,6.34334221574,0.16
709,0.08,5.58310000679,0.17
710,0.08,4.94564252169,0.18
711,0.08,4.42334758401,0.19
712,0.08,4.00538156499,0.2
713,0.08,3.67849038749,0.21
714,0.08,3.42786062724,0.22
715,0.08,3.23804423237,0.23
716,0.08,3.09395018639,0.24
717,0.08,2.98187752213,0.25
718,0.08,2.89049189729,0.26
719,0.08,2.81148538383,0.27
720,0.08,2.73940105515,0.28
721,0.08,2.67034174986,0.29
722,0.08,2.60015713178,0.3
723,0.08,2.52301877216,0.31
724,0.08,2.43110010692,0.32
725,0.08,2.31584554896,0.33
726,0.08,2.17100130373,0.34
727,0.08,1.99683108873,0.35
728,0.08,1.80192266808,0.36
729,0.08,1.59961666027,0.37
730,0.08,1.40396726394,0.38
731,0.08,1.22685394499,0.39
732,0.08,1.07597892058,0.4
733,0.08,0.954860075262,0.41
734,0.08,0.86362239724,0.42
735,0.08,0.799910550584,0.43
736,0.08,0.759851996949,0.44
737,0.08,0.738868418882,0.45
738,0.08,0.732119316175,0.46
739,0.08,0.734647269316,0.47
740,0.08,0.741632441215,0.48
741,0.08,0.748881489171,0.49
742,0.08,0.752896921141,0.5
743,0.08,0.750200311642,0.51
744,0.08,0.736774078564,0.52
745,0.08,0.708504819582,0.53
746,0.08,0.662894952445,0.54
747,0.08,0.601575466219,0.55
748,0.08,0.531511344895,0.56
749,0.08,0.462702354372,0.57
750,0.08,0.404914516299,0.58
751,0.08,0.365870174809,0.59
752,0.08,0.350667373919,0.6
753,0.08,0.362099726478,0.61
754,0.08,0.401506503769,0.62
755,0.08,0.469967524933,0.63
756,0.08,0.569755878351,0.64
757,0.08,0.705588072756,0.65
758,0.08,0.884861031635,0.66
759,0.08,1.1162457714,0.67
760,0.08,1.40722496588,0.68
761,0.08,1.7611969584,0.69
762,0.08,2.17526584468,0.7
763,0.08,2.64002795572,0.71
764,0.08,3.14045580619,0.72
765,0.08,3.65713782077,0.73
766,0.08,4.16800235882,0.74
767,0.08,4.65069632694,0.75
768,0.08,5.08554698086,0.76
769,0.08,5.45854823223,0.77
770,0.08,5.76331293661,0.78
771,0.08,6.00119342202,0.79
772,0.08,6.17974268807,0.8
773,0.08,6.31013906331,0.81
774,0.08,6.40403823028,0.82
775,0.08,6.47026680886,0.83
776,0.08,6.51200348131,0.84
777,0.08,6.52544500061,0.85
778,0.08,6.50122330619,0.86
779,0.08,6.42963214985,0.87
780,0.08,6.30900247635,0.88
781,0.08,6.15351117027,0.89
782,0.08,5.9954470144,0.9
783,0.08,5.87967620816,0.91
784,0.08,5.85377251999,0.92
785,0.08,5.95979052006,0.93
786,0.08,6.22939358784,0.94
787,0.08,6.68192069032,0.95
788,0.08,7.32467144546,0.96
789,0.08,8.15446884663,0.97
790,0.08,9.15975649039,0.98
791,0.08,10.3227790718,0.99
792,0.09,30.833803584,0.01
793,0.09,29.1565727867,0.02
794,0.09,27.4282420988,0.03
795,0.09,25.6585839165,0.04
796,0.09,23.8588513623,0.05
797,0.09,22.0419991012,0.06
798,0.09,20.2228417192,0.07
799,0.09,18.4180831206,0.08
800,0.09,16.6461447359,0.09
801,0.09,14.9267278529,0.1
802,0.09,13.280076959,0.11
803,0.09,11.7259717213,0.12
804,0.09,10.2825518786,0.13
805,0.09,8.96513898627,0.14
806,0.09,7.785229126,0.15
807,0.09,6.74978570452,0.16
808,0.09,5.86088773325,0.17
809,0.09,5.11572301856,0.18
810,0.09,4.50687910421,0.19
811,0.09,4.02287805336,0.2
812,0.09,3.64891316872,0.21
813,0.09,3.36776353925,0.22
814,0.09,3.16087323807,0.23
815,0.09,3.00957502357,0.24
816,0.09,2.89641059059,0.25
817,0.09,2.806459628,0.26
818,0.09,2.72848674416,0.27
819,0.09,2.65520522257,0.28
820,0.09,2.58197176688,0.29
