"","Method","Sequence","MSE"
"372","GP-UCB",12,1.26542
"373","GP-UCB",13,1.283369
"374","GP-UCB",14,1.175985
"375","GP-UCB",15,1.111753
"376","GP-UCB",16,1.099198
"377","GP-UCB",17,1.103042
"378","GP-UCB",18,1.083481
"379","GP-UCB",19,1.03447
"380","GP-UCB",20,1.043057
"381","GP-UCB",21,1.030068
"382","GP-UCB",22,0.991411
"383","GP-UCB",23,0.957032
"384","GP-UCB",24,0.921599
"385","GP-UCB",25,0.919181
"386","GP-UCB",26,0.925443
"387","GP-UCB",27,0.922343
"388","GP-UCB",28,0.908145
"389","GP-UCB",29,0.918592
"390","GP-UCB",30,0.875595
"391","GP-UCB",31,0.878509
"392","GP-UCB",32,0.83762
"393","GP-UCB",33,0.857956
"394","GP-UCB",34,0.815207
"395","GP-UCB",35,0.811301
"396","GP-UCB",36,0.790066
"397","GP-UCB",37,0.774411
"398","GP-UCB",38,0.759128
"399","GP-UCB",39,0.741179
"400","GP-UCB",40,0.750169
"401","GP-Thompson",1,3.092932
"402","GP-Thompson",2,2.193095
"403","GP-Thompson",3,1.905105
"404","GP-Thompson",4,1.871625
"405","GP-Thompson",5,1.70097
"406","GP-Thompson",6,1.569282
"407","GP-Thompson",7,1.607226
"408","GP-Thompson",8,1.534283
"409","GP-Thompson",9,1.561191
"410","GP-Thompson",10,1.470671
"411","GP-Thompson",11,1.489767
"412","GP-Thompson",12,1.465742
"413","GP-Thompson",13,1.45979
"414","GP-Thompson",14,1.448661
"415","GP-Thompson",15,1.476964
"416","GP-Thompson",16,1.404114
"417","GP-Thompson",17,1.445437
"418","GP-Thompson",18,1.419738
"419","GP-Thompson",19,1.400611
"420","GP-Thompson",20,1.36028
"421","GP-Thompson",21,1.371719
"422","GP-Thompson",22,1.382166
"423","GP-Thompson",23,1.364775
"424","GP-Thompson",24,1.370448
"425","GP-Thompson",25,1.364744
"426","GP-Thompson",26,1.330675
"427","GP-Thompson",27,1.33889
"428","GP-Thompson",28,1.327668
"429","GP-Thompson",29,1.348345
"430","GP-Thompson",30,1.299737
"431","GP-Thompson",31,1.314617
"432","GP-Thompson",32,1.299954
"433","GP-Thompson",33,1.314276
"434","GP-Thompson",34,1.295862
"435","GP-Thompson",35,1.279866
"436","GP-Thompson",36,1.284609
"437","GP-Thompson",37,1.267776
"438","GP-Thompson",38,1.288639
"439","GP-Thompson",39,1.278688
"440","GP-Thompson",40,1.275309
